time,chassis_x,chassis_y,chassis_yaw,leg_joint1,leg_joint2,leg_joint3,leg_joint4,leg_joint5,head_joint1,head_joint2,left_arm_joint1,left_arm_joint2,left_arm_joint3,left_arm_joint4,left_arm_joint5,left_arm_joint6,left_arm_joint7,right_arm_joint1,right_arm_joint2,right_arm_joint3,right_arm_joint4,right_arm_joint5,right_arm_joint6,right_arm_joint7
0,0,0,0,0.35,1.28,0.87,0,0,0,0,1.07,-1.37,0.237,-0.528,0.292,-0.307,-0.05,-1.07,1.37,-0.237,0.528,-0.292,0.307,0.05
0.0321027,0,0,0,0.35003,1.28005,0.870036,0,0,0,0,1.06812,-1.37003,0.235692,-0.5275,0.292705,-0.306791,-0.0499457,-1.06812,1.37003,-0.235692,0.5275,-0.292705,0.306791,0.0499457
0.0642053,0,0,0,0.350121,1.28022,0.870145,0,0,0,0,1.06247,-1.37012,0.231768,-0.526001,0.29482,-0.306162,-0.0497827,-1.06247,1.37012,-0.231768,0.526001,-0.29482,0.306162,0.0497827
0.096308,0,0,0,0.350272,1.28049,0.870326,0,0,0,0,1.05305,-1.37027,0.225229,-0.523502,0.298345,-0.305115,-0.0495111,-1.05305,1.37027,-0.225229,0.523502,-0.298345,0.305115,0.0495111
0.128411,0,0,0,0.350483,1.28087,0.870579,0,0,0,0,1.03987,-1.37048,0.216073,-0.520004,0.303279,-0.303649,-0.0491309,-1.03987,1.37048,-0.216073,0.520004,-0.303279,0.303649,0.0491309
0.160513,0,0,0,0.350754,1.28136,0.870905,0,0,0,0,1.02292,-1.37075,0.204302,-0.515506,0.309624,-0.301764,-0.048642,-1.02292,1.37075,-0.204302,0.515506,-0.309624,0.301764,0.048642
0.192616,0,0,0,0.351086,1.28196,0.871304,0,0,0,0,1.00221,-1.37109,0.189915,-0.510009,0.317379,-0.29946,-0.0480444,-1.00221,1.37109,-0.189915,0.510009,-0.317379,0.29946,0.0480444
0.224719,0,0,0,0.351479,1.28266,0.871774,0,0,0,0,0.977727,-1.37148,0.172911,-0.503512,0.326543,-0.296738,-0.0473383,-0.977727,1.37148,-0.172911,0.503512,-0.326543,0.296738,0.0473383
0.256821,0,0,0,0.351931,1.28348,0.872318,0,0,0,0,0.94948,-1.37193,0.153293,-0.496016,0.337118,-0.293596,-0.0465235,-0.94948,1.37193,-0.153293,0.496016,-0.337118,0.293596,0.0465235
0.288924,0,0,0,0.352444,1.2844,0.872933,0,0,0,0,0.917467,-1.37244,0.131058,-0.48752,0.349102,-0.290036,-0.0456,-0.917467,1.37244,-0.131058,0.48752,-0.349102,0.290036,0.0456
0.321027,0,0,0,0.353018,1.28543,0.873621,0,0,0,0,0.881687,-1.37302,0.106207,-0.478025,0.362497,-0.286056,-0.0445679,-0.881687,1.37302,-0.106207,0.478025,-0.362497,0.286056,0.0445679
0.353129,0,0,0,0.353652,1.28657,0.874382,0,0,0,0,0.842141,-1.37365,0.0787405,-0.46753,0.377301,-0.281658,-0.0434272,-0.842141,1.37365,-0.0787405,0.46753,-0.377301,0.281658,0.0434272
0.385232,0,0,0,0.354346,1.28782,0.875215,0,0,0,0,0.798829,-1.37435,0.0486582,-0.456036,0.393515,-0.276841,-0.0421778,-0.798829,1.37435,-0.0486582,0.456036,-0.393515,0.276841,0.0421778
0.417335,0,0,0,0.3551,1.28918,0.87612,0,0,0,0,0.751751,-1.3751,0.0159599,-0.443542,0.411139,-0.271605,-0.0408197,-0.751751,1.3751,-0.0159599,0.443542,-0.411139,0.271605,0.0408197
0.449437,0,0,0,0.355915,1.29065,0.877098,0,0,0,0,0.700907,-1.37591,-0.0193542,-0.430048,0.430173,-0.26595,-0.0393531,-0.700907,1.37591,0.0193542,0.430048,-0.430173,0.26595,0.0393531
0.48154,0,0,0,0.35679,1.29222,0.878148,0,0,0,0,0.646296,-1.37679,-0.0572841,-0.415555,0.450617,-0.259877,-0.0377778,-0.646296,1.37679,0.0572841,0.415555,-0.450617,0.259877,0.0377778
0.513643,0,0,0,0.357726,1.29391,0.879271,0,0,0,0,0.587919,-1.37773,-0.09783,-0.400063,0.472471,-0.253384,-0.0360938,-0.587919,1.37773,0.09783,0.400063,-0.472471,0.253384,0.0360938
0.545745,0,0,0,0.358722,1.2957,0.880466,0,0,0,0,0.525776,-1.37872,-0.140992,-0.383571,0.495735,-0.246472,-0.0343012,-0.525776,1.37872,0.140992,0.383571,-0.495735,0.246472,0.0343012
0.577848,0,0,0,0.359778,1.2976,0.881733,0,0,0,0,0.459866,-1.37978,-0.186769,-0.36608,0.520409,-0.239142,-0.0324,-0.459866,1.37978,0.186769,0.36608,-0.520409,0.239142,0.0324
0.609951,0,0,0,0.360894,1.29961,0.883073,0,0,0,0,0.390191,-1.38089,-0.235163,-0.347589,0.546493,-0.231393,-0.0303901,-0.390191,1.38089,0.235163,0.347589,-0.546493,0.231393,0.0303901
0.642053,0,0,0,0.362071,1.30173,0.884486,0,0,0,0,0.316748,-1.38207,-0.286172,-0.328099,0.573986,-0.223225,-0.0282716,-0.316748,1.38207,0.286172,0.328099,-0.573986,0.223225,0.0282716
0.674156,0,0,0,0.363309,1.30396,0.88597,0,0,0,0,0.23954,-1.38331,-0.339797,-0.307609,0.60289,-0.214638,-0.0260444,-0.23954,1.38331,0.339797,0.307609,-0.60289,0.214638,0.0260444
0.706259,0,0,0,0.364606,1.30629,0.887528,0,0,0,0,0.158566,-1.38461,-0.396038,-0.286119,0.633204,-0.205632,-0.0237086,-0.158566,1.38461,0.396038,0.286119,-0.633204,0.205632,0.0237086
0.738361,0,0,0,0.365964,1.30874,0.889157,0,0,0,0,0.073825,-1.38596,-0.454895,-0.26363,0.664927,-0.196207,-0.0212642,-0.073825,1.38596,0.454895,0.26363,-0.664927,0.196207,0.0212642
0.770464,0,0,0,0.367375,1.31127,0.89085,0,0,0,0,-0.0141892,-1.38737,-0.516025,-0.240273,0.697876,-0.186419,-0.0187253,0.0141892,1.38737,0.516025,0.240273,-0.697876,0.186419,0.0187253
0.802567,0,0,0,0.368793,1.31383,0.892552,0,0,0,0,-0.102711,-1.38879,-0.577508,-0.21678,0.731015,-0.176573,-0.0161718,0.102711,1.38879,0.577508,0.21678,-0.731015,0.176573,0.0161718
0.834669,0,0,0,0.370212,1.31638,0.894255,0,0,0,0,-0.191234,-1.39021,-0.638992,-0.193288,0.764154,-0.166728,-0.0136182,0.191234,1.39021,0.638992,0.193288,-0.764154,0.166728,0.0136182
0.866772,0,0,0,0.371631,1.31894,0.895957,0,0,0,0,-0.279757,-1.39163,-0.700476,-0.169795,0.797294,-0.156883,-0.0110647,0.279757,1.39163,0.700476,0.169795,-0.797294,0.156883,0.0110647
0.898875,0,0,0,0.373049,1.32149,0.897659,0,0,0,0,-0.368281,-1.39305,-0.76196,-0.146302,0.830433,-0.147037,-0.00851114,0.368281,1.39305,0.76196,0.146302,-0.830433,0.147037,0.00851114
