time,chassis_x,chassis_y,chassis_yaw,leg_joint1,leg_joint2,leg_joint3,leg_joint4,leg_joint5,head_joint1,head_joint2,left_arm_joint1,left_arm_joint2,left_arm_joint3,left_arm_joint4,left_arm_joint5,left_arm_joint6,left_arm_joint7,right_arm_joint1,right_arm_joint2,right_arm_joint3,right_arm_joint4,right_arm_joint5,right_arm_joint6,right_arm_joint7
0,0,0,0,0.06,0.22,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0320297,0,0,0,0.0606665,0.222436,0.141678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0640595,0,0,0,0.0626659,0.229744,0.146711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0960892,0,0,0,0.0659983,0.241925,0.155099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.128119,0,0,0,0.0706636,0.258977,0.166843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.160149,0,0,0,0.0766619,0.280902,0.181942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.192178,0,0,0,0.0839931,0.307699,0.200396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.224208,0,0,0,0.0926573,0.339368,0.222206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.256238,0,0,0,0.102654,0.375909,0.247371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.288268,0,0,0,0.113984,0.417323,0.275892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.320297,0,0,0,0.126648,0.463608,0.307768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.352327,0,0,0,0.140643,0.514766,0.342999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.384357,0,0,0,0.155972,0.570796,0.381586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.416387,0,0,0,0.172634,0.631698,0.423528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.448416,0,0,0,0.190629,0.697472,0.468825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.480446,0,0,0,0.209874,0.767814,0.517268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.512476,0,0,0,0.228535,0.836024,0.564243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.544506,0,0,0,0.245863,0.899362,0.607863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.576535,0,0,0,0.261859,0.957828,0.648127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.608565,0,0,0,0.276521,1.01142,0.685036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.640595,0,0,0,0.289851,1.06014,0.718589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.672625,0,0,0,0.301847,1.10399,0.748788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.704654,0,0,0,0.312511,1.14297,0.775631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.736684,0,0,0,0.321841,1.17708,0.799118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.768714,0,0,0,0.329839,1.20631,0.81925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.800743,0,0,0,0.336504,1.23067,0.836027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.832773,0,0,0,0.341836,1.25016,0.849448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.864803,0,0,0,0.345835,1.26477,0.859515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.896833,0,0,0,0.3485,1.27452,0.866225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.928862,0,0,0,0.349833,1.27939,0.869581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.960892,0,0,0,0.35,1.28,0.87,0,0,0,0,0.000247427,-0.000293676,5.4804e-05,-0.000122095,6.75223e-05,-7.09909e-05,-1.1562e-05,-0.000247427,0.000293676,-5.4804e-05,0.000122095,-6.75223e-05,7.09909e-05,1.1562e-05
0.992922,0,0,0,0.35,1.28,0.87,0,0,0,0,0.00332652,-0.0039483,0.00073681,-0.0016415,0.000907799,-0.000954433,-0.000155445,-0.00332652,0.0039483,-0.00073681,0.0016415,-0.000907799,0.000954433,0.000155445
1.02495,0,0,0,0.35,1.28,0.87,0,0,0,0,0.00992459,-0.0117797,0.00219825,-0.00489737,0.00270839,-0.00284752,-0.000463766,-0.00992459,0.0117797,-0.00219825,0.00489737,-0.00270839,0.00284752,0.000463766
1.05698,0,0,0,0.35,1.28,0.87,0,0,0,0,0.0200416,-0.0237877,0.00443913,-0.0098897,0.0054693,-0.00575026,-0.000936524,-0.0200416,0.0237877,-0.00443913,0.0098897,-0.0054693,0.00575026,0.000936524
1.08901,0,0,0,0.35,1.28,0.87,0,0,0,0,0.0336776,-0.0399725,0.00745944,-0.0166185,0.00919053,-0.00966264,-0.00157372,-0.0336776,0.0399725,-0.00745944,0.0166185,-0.00919053,0.00966264,0.00157372
1.12104,0,0,0,0.35,1.28,0.87,0,0,0,0,0.0508326,-0.060334,0.0112592,-0.0250837,0.0138721,-0.0145847,-0.00237535,-0.0508326,0.060334,-0.0112592,0.0250837,-0.0138721,0.0145847,0.00237535
1.15307,0,0,0,0.35,1.28,0.87,0,0,0,0,0.0715065,-0.0848722,0.0158384,-0.0352855,0.0195139,-0.0205164,-0.00334143,-0.0715065,0.0848722,-0.0158384,0.0352855,-0.0195139,0.0205164,0.00334143
1.1851,0,0,0,0.35,1.28,0.87,0,0,0,0,0.0956994,-0.113587,0.021197,-0.0472236,0.0261161,-0.0274577,-0.00447194,-0.0956994,0.113587,-0.021197,0.0472236,-0.0261161,0.0274577,0.00447194
1.21713,0,0,0,0.35,1.28,0.87,0,0,0,0,0.123411,-0.146479,0.027335,-0.0608983,0.0336786,-0.0354087,-0.00576688,-0.123411,0.146479,-0.027335,0.0608983,-0.0336786,0.0354087,0.00576688
1.24916,0,0,0,0.35,1.28,0.87,0,0,0,0,0.154642,-0.183547,0.0342525,-0.0763094,0.0422014,-0.0443693,-0.00722627,-0.154642,0.183547,-0.0342525,0.0763094,-0.0422014,0.0443693,0.00722627
1.28119,0,0,0,0.35,1.28,0.87,0,0,0,0,0.189392,-0.224792,0.0419494,-0.093457,0.0516845,-0.0543396,-0.00885009,-0.189392,0.224792,-0.0419494,0.093457,-0.0516845,0.0543396,0.00885009
1.31322,0,0,0,0.35,1.28,0.87,0,0,0,0,0.227661,-0.270214,0.0504258,-0.112341,0.062128,-0.0653195,-0.0106384,-0.227661,0.270214,-0.0504258,0.112341,-0.062128,0.0653195,0.0106384
1.34525,0,0,0,0.35,1.28,0.87,0,0,0,0,0.269448,-0.319813,0.0596816,-0.132961,0.0735317,-0.077309,-0.0125911,-0.269448,0.319813,-0.0596816,0.132961,-0.0735317,0.077309,0.0125911
1.37728,0,0,0,0.35,1.28,0.87,0,0,0,0,0.314755,-0.373588,0.0697168,-0.155318,0.0858958,-0.0903083,-0.0147082,-0.314755,0.373588,-0.0697168,0.155318,-0.0858958,0.0903083,0.0147082
1.40931,0,0,0,0.35,1.28,0.87,0,0,0,0,0.363581,-0.43154,0.0805315,-0.179412,0.0992202,-0.104317,-0.0169898,-0.363581,0.43154,-0.0805315,0.179412,-0.0992202,0.104317,0.0169898
1.44134,0,0,0,0.35,1.28,0.87,0,0,0,0,0.415926,-0.493669,0.0921256,-0.205242,0.113505,-0.119336,-0.0194358,-0.415926,0.493669,-0.0921256,0.205242,-0.113505,0.119336,0.0194358
1.47337,0,0,0,0.35,1.28,0.87,0,0,0,0,0.471789,-0.559974,0.104499,-0.232808,0.12875,-0.135364,-0.0220462,-0.471789,0.559974,-0.104499,0.232808,-0.12875,0.135364,0.0220462
1.5054,0,0,0,0.35,1.28,0.87,0,0,0,0,0.531175,-0.63046,0.117653,-0.262112,0.144956,-0.152403,-0.0248213,-0.531175,0.63046,-0.117653,0.262112,-0.144956,0.152403,0.0248213
1.53743,0,0,0,0.35,1.28,0.87,0,0,0,0,0.59098,-0.701444,0.130899,-0.291624,0.161277,-0.169562,-0.0276159,-0.59098,0.701444,-0.130899,0.291624,-0.161277,0.169562,0.0276159
1.56946,0,0,0,0.35,1.28,0.87,0,0,0,0,0.647284,-0.768272,0.14337,-0.319407,0.176642,-0.185716,-0.0302469,-0.647284,0.768272,-0.14337,0.319407,-0.176642,0.185716,0.0302469
1.60149,0,0,0,0.35,1.28,0.87,0,0,0,0,0.700068,-0.830922,0.155062,-0.345454,0.191047,-0.200861,-0.0327135,-0.700068,0.830922,-0.155062,0.345454,-0.191047,0.200861,0.0327135
1.63352,0,0,0,0.35,1.28,0.87,0,0,0,0,0.749334,-0.889396,0.165974,-0.369765,0.204491,-0.214996,-0.0350156,-0.749334,0.889396,-0.165974,0.369765,-0.204491,0.214996,0.0350156
1.66555,0,0,0,0.35,1.28,0.87,0,0,0,0,0.795081,-0.943694,0.176107,-0.392339,0.216975,-0.228121,-0.0371533,-0.795081,0.943694,-0.176107,0.392339,-0.216975,0.228121,0.0371533
1.69758,0,0,0,0.35,1.28,0.87,0,0,0,0,0.837308,-0.993814,0.18546,-0.413176,0.228499,-0.240237,-0.0391266,-0.837308,0.993814,-0.18546,0.413176,-0.228499,0.240237,0.0391266
1.72961,0,0,0,0.35,1.28,0.87,0,0,0,0,0.876017,-1.03976,0.194034,-0.432277,0.239063,-0.251343,-0.0409354,-0.876017,1.03976,-0.194034,0.432277,-0.239063,0.251343,0.0409354
