time,chassis_x,chassis_y,chassis_yaw,leg_joint1,leg_joint2,leg_joint3,leg_joint4,leg_joint5,head_joint1,head_joint2,left_arm_joint1,left_arm_joint2,left_arm_joint3,left_arm_joint4,left_arm_joint5,left_arm_joint6,left_arm_joint7,right_arm_joint1,right_arm_joint2,right_arm_joint3,right_arm_joint4,right_arm_joint5,right_arm_joint6,right_arm_joint7
0,0,0,0,0.35,1.28,0.87,0,0,0,0,1.17,-1.27,0.237,-0.528,0.292,-0.307,-0.05,-1.17,1.27,-0.237,0.528,-0.292,0.307,0.05
0.0320128,-0.000101145,0.0201139,0.0402285,0.35,1.28,0.87,0,0,0,0,1.16957,-1.26932,0.236674,-0.528002,0.291998,-0.307003,-0.05,-1.1678,1.2701,-0.237104,0.528111,-0.291998,0.307003,0.0499074
0.0640256,-0.000404569,0.0402258,0.080457,0.35,1.28,0.87,0,0,0,0,1.16828,-1.26727,0.235697,-0.528007,0.291993,-0.30701,-0.05,-1.16121,1.2704,-0.237414,0.528444,-0.291993,0.30701,0.0496297
0.0960384,-0.000910242,0.0603336,0.120685,0.35,1.28,0.87,0,0,0,0,1.16614,-1.26387,0.234069,-0.528015,0.291985,-0.307023,-0.05,-1.15023,1.27091,-0.237932,0.529,-0.291985,0.307023,0.0491669
0.128051,-0.00161811,0.0804353,0.160914,0.35,1.28,0.87,0,0,0,0,1.16313,-1.25909,0.231789,-0.528027,0.291973,-0.30704,-0.05,-1.13486,1.27162,-0.238656,0.529777,-0.291973,0.30704,0.0485189
0.160064,-0.00252811,0.100529,0.201142,0.35,1.28,0.87,0,0,0,0,1.15927,-1.25296,0.228858,-0.528042,0.291958,-0.307063,-0.05,-1.11509,1.27252,-0.239588,0.530777,-0.291958,0.307063,0.0476857
0.192077,-0.00364014,0.120612,0.241371,0.35,1.28,0.87,0,0,0,0,1.15455,-1.24546,0.225276,-0.528061,0.291939,-0.307091,-0.05,-1.09093,1.27364,-0.240726,0.531999,-0.291939,0.307091,0.0466675
0.22409,-0.00495409,0.140683,0.281599,0.35,1.28,0.87,0,0,0,0,1.14897,-1.2366,0.221042,-0.528082,0.291918,-0.307124,-0.05,-1.06237,1.27495,-0.242072,0.533443,-0.291918,0.307124,0.045464
0.256102,-0.00646983,0.16074,0.321828,0.35,1.28,0.87,0,0,0,0,1.14253,-1.22637,0.216156,-0.528108,0.291892,-0.307162,-0.05,-1.02943,1.27646,-0.243625,0.535109,-0.291892,0.307162,0.0440755
0.288115,-0.00818721,0.180781,0.362056,0.35,1.28,0.87,0,0,0,0,1.13524,-1.21479,0.21062,-0.528136,0.291864,-0.307204,-0.05,-0.992088,1.27818,-0.245384,0.536998,-0.291864,0.307204,0.0425018
0.320128,-0.010106,0.200803,0.402285,0.35,1.28,0.87,0,0,0,0,1.12708,-1.20183,0.204432,-0.528168,0.291832,-0.307252,-0.05,-0.950355,1.2801,-0.247351,0.539108,-0.291832,0.307252,0.0407429
0.352141,-0.0122261,0.220806,0.442513,0.35,1.28,0.87,0,0,0,0,1.11807,-1.18752,0.197593,-0.528204,0.291796,-0.307305,-0.05,-0.90423,1.28222,-0.249525,0.541441,-0.291796,0.307305,0.0387989
0.384154,-0.0145473,0.240785,0.482742,0.35,1.28,0.87,0,0,0,0,1.1082,-1.17184,0.190102,-0.528242,0.291758,-0.307364,-0.05,-0.853711,1.28454,-0.251906,0.543996,-0.291758,0.307364,0.0366698
0.416166,-0.0170693,0.260741,0.52297,0.35,1.28,0.87,0,0,0,0,1.09747,-1.1548,0.18196,-0.528284,0.291716,-0.307427,-0.05,-0.7988,1.28707,-0.254493,0.546773,-0.291716,0.307427,0.0343556
0.448179,-0.0197918,0.28067,0.563199,0.35,1.28,0.87,0,0,0,0,1.08588,-1.1364,0.173167,-0.52833,0.29167,-0.307495,-0.05,-0.739496,1.28979,-0.257288,0.549773,-0.29167,0.307495,0.0318561
0.480192,-0.0227146,0.30057,0.603427,0.35,1.28,0.87,0,0,0,0,1.07343,-1.11663,0.163722,-0.528379,0.291621,-0.307568,-0.05,-0.675799,1.29272,-0.26029,0.552994,-0.291621,0.307568,0.0291716
0.512205,-0.0258375,0.320441,0.643656,0.35,1.28,0.87,0,0,0,0,1.06013,-1.0955,0.153626,-0.528431,0.291569,-0.307646,-0.05,-0.607709,1.29585,-0.263499,0.556438,-0.291569,0.307646,0.0263019
0.544218,-0.02916,0.340279,0.683884,0.35,1.28,0.87,0,0,0,0,1.04596,-1.073,0.142878,-0.528486,0.291514,-0.30773,-0.05,-0.535226,1.29919,-0.266915,0.560104,-0.291514,0.30773,0.0232471
